text,label
Python is used for machine learning,Technology
Artificial intelligence is transforming industries,Technology
Cloud computing improves scalability,Technology
Cybersecurity protects digital systems,Technology
Data science helps businesses make decisions,Technology
Machine learning models require training data,Technology
Neural networks are widely used in AI,Technology
Big data analytics provides valuable insights,Technology
Software development involves coding and testing,Technology
Robotics is advancing rapidly,Technology
Football is the world's most popular sport,Sports
Cricket is widely followed in India,Sports
Basketball requires teamwork and skill,Sports
Tennis players compete in tournaments,Sports
Olympic athletes train for years,Sports
The team won the championship,Sports
The coach planned a new strategy,Sports
Fans celebrated the victory,Sports
The match went into extra time,Sports
The player scored a hat trick,Sports
Investors monitor stock markets daily,Finance
Banks provide loans and financial services,Finance
The economy grew by three percent,Finance
Interest rates influence borrowing costs,Finance
Companies reported higher profits,Finance
Financial planning helps manage money,Finance
The stock market closed higher today,Finance
Inflation affects consumer spending,Finance
Businesses seek investment opportunities,Finance
Economic indicators guide decisions,Finance
